id,data_inversa,dia_semana,horario,uf,br,km,municipio,latitude,longitude,feridos_leves,feridos_graves,mortos,classificacao_acidente,causa_principal,causa_acidente,tipo_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,sentido_via
745126,2026-01-11,domingo,23:00:00,SC,282.0,"81,9",alfredo wagner,-27.697546,-49.301308,0.0,0.0,0.0,Sem Vítimas,Sim,Demais falhas mecânicas ou elétricas,Incêndio,Plena Noite,Céu Claro,Simples,Declive,Não,Crescente
745127,2026-01-12,segunda-feira,00:30:00,RS,470.0,"222,9",garibaldi,-29.2228,-51.516296,0.0,0.0,0.0,Sem Vítimas,Sim,Ingestão de álcool pelo condutor,Colisão com objeto,Plena Noite,Céu Claro,Simples,Reta,Sim,Crescente
745128,2026-01-12,segunda-feira,00:05:00,RJ,356.0,9,itaperuna,-21.167944,-42.11806,4.0,0.0,0.0,Com Vítimas Feridas,Sim,Ultrapassagem Indevida,Colisão lateral sentido oposto,Plena Noite,Ignorado,Simples,Aclive,Não,Crescente
745129,2026-01-11,domingo,21:00:00,RJ,116.0,170,rio de janeiro,-22.817282,-43.322792,0.0,0.0,0.0,Sem Vítimas,Sim,Ingestão de álcool pelo condutor,Colisão transversal,Plena Noite,Céu Claro,Dupla,Reta,Sim,Decrescente
745130,2026-01-11,domingo,23:00:00,AC,364.0,"740,2",cruzeiro do sul,-7.735715,-72.531395,0.0,0.0,3.0,Com Vítimas Fatais,Não,Reação tardia ou ineficiente do condutor,Atropelamento de Animal,Plena Noite,Nublado,Simples,Reta,Não,Crescente
745131,2026-01-12,segunda-feira,02:15:00,PE,232.0,136,caruaru,-8.31513,-36.04711,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Queda de ocupante de veículo,Plena Noite,Céu Claro,Dupla,Declive,Não,Crescente
745132,2026-01-11,domingo,22:30:00,MT,163.0,"66,7",rondonopolis,-16.927008,-54.730022,4.0,0.0,0.0,Com Vítimas Feridas,Não,Sistema de drenagem ineficiente,Capotamento,Plena Noite,Garoa/Chuvisco,Dupla,Reta,Não,Crescente
745133,2026-01-12,segunda-feira,01:30:00,PR,373.0,"175,5",ponta grossa,-25.063438,-50.214016,0.0,0.0,0.0,Sem Vítimas,Não,Velocidade Incompatível,Saída de leito carroçável,Plena Noite,Céu Claro,Simples,Curva,Sim,Crescente
745137,2026-01-12,segunda-feira,03:00:00,PE,232.0,325,custodia,-8.091697,-37.580204,0.0,2.0,0.0,Com Vítimas Feridas,Não,Reação tardia ou ineficiente do condutor,Atropelamento de Animal,Plena Noite,Céu Claro,Simples,Aclive;Curva,Não,Decrescente
745138,2026-01-12,segunda-feira,04:20:00,PE,101.0,"74,2",recife,-8.103578,-34.948578,20.0,0.0,0.0,Com Vítimas Feridas,Não,Velocidade Incompatível,Saída de leito carroçável,Amanhecer,Nublado,Dupla,Aclive;Curva,Sim,Crescente
745139,2026-01-12,segunda-feira,04:30:00,PR,277.0,"24,8",morretes,-25.530155,-48.747704,0.0,0.0,2.0,Com Vítimas Fatais,Sim,Velocidade Incompatível,Queda de ocupante de veículo,Amanhecer,Céu Claro,Múltipla,Reta,Não,Crescente
745140,2026-01-12,segunda-feira,04:40:00,CE,116.0,"139,4",palhano,-4.757761,-38.059643,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Animais na Pista,Colisão transversal,Amanhecer,Céu Claro,Simples,Reta,Não,Decrescente
