id,data_inversa,dia_semana,horario,uf,br,km,municipio,latitude,longitude,feridos_leves,feridos_graves,mortos,classificacao_acidente,causa_principal,causa_acidente,tipo_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,sentido_via,osm_total_elementos,osm_tipos
652573,2025-01-01,quarta-feira,12:23:00,RS,116.0,376,tapes,-30.739714,-51.62594,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Saída de leito carroçável,Pleno dia,Céu Claro,Dupla,Reta,Não,Decrescente,0,{}
652575,2025-01-01,quarta-feira,13:46:00,BA,101.0,924,nova vicosa,-17.931067,-39.83928,3.0,0.0,0.0,Com Vítimas Feridas,Sim,Reação tardia ou ineficiente do condutor,Colisão lateral sentido oposto,Pleno dia,Nublado,Simples,Reta,Não,Crescente,0,{}
652576,2025-01-01,quarta-feira,13:44:00,GO,60.0,"210,8",varjao,-16.9406,-49.6717,2.0,0.0,0.0,Com Vítimas Feridas,Não,Objeto estático sobre o leito carroçável,Queda de ocupante de veículo,Pleno dia,Céu Claro,Dupla,Reta,Não,Decrescente,0,{}
652578,2025-01-01,quarta-feira,14:25:00,PB,230.0,10,cabedelo,-7.0514,-34.8499,4.0,0.0,0.0,Com Vítimas Feridas,Não,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Pleno dia,Céu Claro,Simples,Reta;Em Obras,Sim,Crescente,0,{}
652579,2025-01-01,quarta-feira,14:00:00,PR,277.0,131,campo largo,-25.44518,-49.498566,0.0,2.0,0.0,Com Vítimas Feridas,Sim,Ingestão de álcool pelo condutor,Capotamento,Pleno dia,Céu Claro,Dupla,Reta,Não,Crescente,2,{'speed_camera': 2}
652580,2025-01-01,quarta-feira,15:15:00,PB,101.0,"64,5",santa rita,-7.034853,-35.055283,0.0,2.0,0.0,Com Vítimas Feridas,Sim,Manobra de mudança de faixa,Queda de ocupante de veículo,Pleno dia,Céu Claro,Dupla,Reta,Não,Crescente,0,{}
652581,2025-01-01,quarta-feira,14:05:00,RJ,101.0,"481,5",angra dos reis,-23.00976,-44.29153,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Colisão traseira,Pleno dia,Nublado,Simples,Reta,Sim,Decrescente,0,{}
652582,2025-01-01,quarta-feira,15:20:00,PR,376.0,407,tibagi,-24.60244,-50.664207,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Demais falhas mecânicas ou elétricas,Colisão com objeto,Pleno dia,Nublado,Dupla,Curva,Não,Decrescente,0,{}
652583,2025-01-01,quarta-feira,15:13:00,MS,163.0,755,coxim,-18.302254,-54.666317,2.0,2.0,0.0,Com Vítimas Feridas,Sim,Demais falhas mecânicas ou elétricas,Queda de ocupante de veículo,Pleno dia,Céu Claro,Simples,Aclive,Não,Decrescente,0,{}
652584,2025-01-01,quarta-feira,14:45:00,MG,381.0,408,nova uniao,-19.725157,-43.569576,12.0,6.0,0.0,Com Vítimas Feridas,Não,Velocidade Incompatível,Capotamento,Pleno dia,Chuva,Dupla,Reta;Declive,Não,Crescente,0,{}
652585,2025-01-01,quarta-feira,15:30:00,CE,116.0,"61,2",chorozinho,-4.255396,-38.486332,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Condutor deixou de manter distância do veículo da frente,Engavetamento,Pleno dia,Céu Claro,Simples,Reta,Não,Decrescente,0,{}
652588,2025-01-01,quarta-feira,16:20:00,MG,381.0,"564,9",itaguara,-20.393375,-44.49681,0.0,0.0,3.0,Com Vítimas Fatais,Não,Reação tardia ou ineficiente do condutor,Atropelamento de Pedestre,Pleno dia,Céu Claro,Dupla,Reta,Sim,Decrescente,0,{}
652589,2025-01-01,quarta-feira,16:10:00,RJ,116.0,203,queimados,-22.730967,-43.622456,4.0,2.0,0.0,Com Vítimas Feridas,Sim,Acesso irregular,Queda de ocupante de veículo,Pleno dia,Céu Claro,Dupla,Reta,Sim,Decrescente,0,{}
